Mes,Ano,Receita_Real,Receita_Projetada,Receita_Total,Tipo_Dado,Observacoes
Janeiro,2022,1274378,0,1274378,Real,"Dados reais dos CSVs originais"
Fevereiro,2022,1339241,0,1339241,Real,"Dados reais dos CSVs originais"
Março,2022,1448596,0,1448596,Real,"Dados reais dos CSVs originais"
Abril,2022,1527813,0,1527813,Real,"Dados reais dos CSVs originais"
Maio,2022,1768432,0,1768432,Real,"Dados reais dos CSVs originais"
Junho,2022,1826987,0,1826987,Real,"Dados reais dos CSVs originais"
Julho,2022,0,1504067,1504067,Projetado,"Projeção baseada em análise preditiva"
Agosto,2022,0,1288271,1288271,Projetado,"Projeção baseada em análise preditiva"
Setembro,2022,0,1318121,1318121,Projetado,"Projeção baseada em análise preditiva"
Outubro,2022,0,1325128,1325128,Projetado,"Projeção baseada em análise preditiva"
Novembro,2022,0,1360116,1360116,Projetado,"Projeção baseada em análise preditiva"
Dezembro,2022,0,1711376,1711376,Projetado,"Projeção baseada em análise preditiva"
Total_6M_Real,2022,9185447,0,9185447,Total,"Total dos primeiros 6 meses reais"
Total_6M_Projetado,2022,0,8507079,8507079,Total,"Total dos últimos 6 meses projetados"
Total_Ano_Completo,2022,9185447,8507079,17692526,Total,"Total do ano 2022 com projeção"
